Disease,Symptom
Common Cold,runny_nose
Common Cold,sneezing
Common Cold,sore_throat
Common Cold,nasal_congestion
Common Cold,mild_fever
Common Cold,cough
Common Cold,headache
Common Cold,fatigue
Common Cold,loss_of_taste
Common Cold,loss_of_smell
Common Cold,ear_pain
Common Cold,hoarseness
Influenza (Flu),high_fever
Influenza (Flu),muscle_pain
Influenza (Flu),fatigue
Influenza (Flu),headache
Influenza (Flu),chills
Influenza (Flu),cough
Influenza (Flu),sore_throat
Influenza (Flu),runny_nose
Influenza (Flu),vomiting
Influenza (Flu),sweating
Influenza (Flu),breathlessness
Influenza (Flu),chest_pain
Pneumonia,high_fever
Pneumonia,productive_cough
Pneumonia,breathlessness
Pneumonia,chest_pain
Pneumonia,chills
Pneumonia,fatigue
Pneumonia,sweating
Pneumonia,nausea
Pneumonia,rapid_breathing
Pneumonia,phlegm
Pneumonia,coughing_blood
Pneumonia,confusion
Pneumonia,blue_lips
Tuberculosis,persistent_cough
Tuberculosis,night_sweats
Tuberculosis,weight_loss
Tuberculosis,fatigue
Tuberculosis,fever
Tuberculosis,coughing_blood
Tuberculosis,chest_pain
Tuberculosis,loss_of_appetite
Tuberculosis,breathlessness
Tuberculosis,swollen_lymph_nodes
Tuberculosis,back_pain
Bronchial Asthma,wheezing
Bronchial Asthma,breathlessness
Bronchial Asthma,chest_tightness
Bronchial Asthma,dry_cough
Bronchial Asthma,cough
Bronchial Asthma,fatigue
Bronchial Asthma,rapid_breathing
Bronchial Asthma,anxiety
Bronchial Asthma,coughing_blood
Bronchial Asthma,chest_pain
Bronchitis,productive_cough
Bronchitis,phlegm
Bronchitis,chest_tightness
Bronchitis,fatigue
Bronchitis,mild_fever
Bronchitis,breathlessness
Bronchitis,wheezing
Bronchitis,sore_throat
Bronchitis,chest_pain
Bronchitis,headache
COVID-19,fever
COVID-19,dry_cough
COVID-19,fatigue
COVID-19,loss_of_taste
COVID-19,loss_of_smell
COVID-19,breathlessness
COVID-19,headache
COVID-19,sore_throat
COVID-19,body_ache
COVID-19,diarrhoea
COVID-19,chest_pain
COVID-19,confusion
COVID-19,skin_rash
Sinusitis,nasal_congestion
Sinusitis,facial_pain
Sinusitis,headache
Sinusitis,runny_nose
Sinusitis,loss_of_smell
Sinusitis,fever
Sinusitis,sore_throat
Sinusitis,fatigue
Sinusitis,ear_pain
Sinusitis,cough
