Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Common Cold,Rest well,Drink warm fluids,Use nasal drops,Avoid going out in cold
Influenza (Flu),Rest at home,Drink lots of fluids,Take paracetamol for fever,Get flu vaccine next year
Pneumonia,See a doctor immediately,Take prescribed antibiotics,Rest completely,Drink warm fluids
Tuberculosis,Take medicines daily without fail,Cover mouth when coughing,Good ventilation at home,Isolate from young children
Bronchial Asthma,Always carry inhaler,Avoid dust and smoke,Stay away from allergens,Monitor breathing daily
Bronchitis,Rest and drink fluids,Avoid smoking,Use a humidifier,Take cough medicine
COVID-19,Isolate yourself,Wear a mask,Drink lots of water,Contact doctor if breathing is difficult
Sinusitis,Steam inhalation twice daily,Use saline nasal spray,Drink warm fluids,Avoid cold air
Pleuritis,See a doctor immediately,Rest and avoid exertion,Take prescribed painkillers,Sleep on the painful side
Gastroenteritis,Drink ORS (electrolyte water),Eat light food like rice and banana,Wash hands often,Avoid dairy foods
Food Poisoning,Stop eating solid food for a few hours,Sip water or ORS frequently,Eat bland food when better,See a doctor if vomiting does not stop
GERD,Don't lie down after eating,Eat smaller meals,Avoid spicy and oily food,Sleep with head elevated
Peptic Ulcer,Take prescribed medicines on time,Avoid painkillers like aspirin,Stop smoking,Reduce alcohol
Appendicitis,Go to hospital immediately,Do not eat or drink anything,Do not take painkillers before diagnosis,Surgery is usually needed
Irritable Bowel Syndrome,Eat fibre-rich foods,Drink plenty of water,Manage stress,Avoid caffeine and alcohol
Cholera,Drink ORS immediately,Go to hospital now,Only drink boiled water,Wash hands with soap
Constipation,Drink 8-10 glasses of water daily,Eat fibre-rich vegetables and fruits,Walk for 30 minutes daily,Do not ignore the urge to go to toilet
Jaundice,See a doctor immediately,Rest completely,Eat only light boiled food,Avoid oily food and alcohol
Hepatitis A,Rest completely,Eat fresh clean food only,Drink only boiled water,Do not share utensils
Hepatitis B,Take complete vaccine course,Do not share needles or razors,Practice safe physical relations,Regular liver checkups
Hepatitis C,Do not share needles,Avoid alcohol completely,Take prescribed antiviral drugs,Regular blood tests
Cirrhosis,Stop alcohol completely,Take medicines regularly,Low-salt diet,Regular doctor visits
Urinary Tract Infection,Drink 8-10 glasses of water daily,Do not hold urine for long,Wipe front to back,Take full course of antibiotics
Kidney Stones,Drink 3-4 litres of water daily,Reduce salt intake,Avoid spinach and tomato,See a doctor for pain relief
Chronic Kidney Disease,Control blood pressure and sugar,Low-protein diet,Take prescribed medicines,Avoid painkiller tablets
Pyelonephritis,Take antibiotics as prescribed,Drink lots of water,Rest completely,See doctor if fever continues
Heart Attack,Call emergency services immediately,Chew an aspirin if available,Do not drive yourself,Lie down and rest
Hypertension,Take medicines every day without fail,Reduce salt in food,Walk 30 minutes daily,Avoid stress
Angina,Rest immediately when pain starts,Take nitro tablet if prescribed,Avoid heavy physical work,Regular heart checkups
Heart Failure,Take medicines daily,Weigh yourself every morning,Limit fluids if doctor advises,Low-salt diet
Arrhythmia,Take prescribed medicines,Avoid caffeine and alcohol,Reduce stress,Regular ECG checkups
Migraine,Rest in a dark quiet room,Take prescribed medicines early,Identify and avoid triggers,Stay hydrated
Stroke,Call emergency services immediately,Note exact time symptoms started,Do not give food or water,Keep person lying with head slightly raised
Epilepsy,Take medicines every day,Never miss a dose,Avoid swimming alone,Inform school or workplace
Meningitis,Go to hospital immediately,This is a medical emergency,Vaccinate children against meningitis,Avoid contact with infected person
Vertigo,Move slowly and carefully,Sit or lie down when dizzy,Avoid driving,Do special head exercises as shown by doctor
Parkinson's Disease,Take medicines on strict schedule,Exercise and physiotherapy daily,Use assistive devices at home,Regular neurology checkups
Diabetes Type 2,Control food — avoid sugar and white rice,Exercise 30 minutes daily,Check blood sugar regularly,Take medicines without fail
Hypoglycemia,Eat 3-4 glucose biscuits immediately,Drink sweet juice or sugar water,Do not skip meals,Always carry sweet snacks
Hypothyroidism,Take thyroid tablet every morning on empty stomach,Regular thyroid blood tests,Do not skip medicine,Avoid soy and cabbage in excess
Hyperthyroidism,Take medicines regularly,Avoid iodine-rich foods,Avoid caffeine,Regular thyroid function tests
Obesity,Eat smaller portions,Walk at least 45 minutes daily,Avoid sugary drinks,Reduce fried food
Malaria,Take antimalarial medicines as prescribed,Use mosquito net at night,Apply mosquito repellent,Remove stagnant water near home
Dengue,See a doctor immediately,Drink lots of water,Eat papaya leaf juice,Use mosquito nets
Typhoid,Take full course of antibiotics,Only drink boiled or bottled water,Eat freshly cooked hot food,Wash hands before eating
Chicken Pox,Do not scratch blisters,Apply calamine lotion,Isolate from others,Do not give aspirin to children
